CountryName,CO2 emissions (metric tons per capita),Year
China,1.17038137226978,1960
China,0.836046900792028,1961
China,0.661428164381093,1962
China,0.6400018993602851,1963
China,0.625646053941047,1964
China,0.665524211218076,1965
China,0.710891381561055,1966
China,0.5741621469750179,1967
China,0.60545199674633,1968
China,0.7251495091234571,1969
China,0.942934534989582,1970
China,1.04223969658961,1971
China,1.08067663654397,1972
China,1.09819569131687,1973
China,1.09736711056811,1974
China,1.2501240949590502,1975
China,1.28528313553995,1976
China,1.38884289658754,1977
China,1.5292011096411202,1978
China,1.5426750986837,1979
China,1.49525074931082,1980
China,1.46043181655825,1981
China,1.56673968353113,1982
China,1.62905590778943,1983
China,1.7504480601837302,1984
China,1.87105479144466,1985
China,1.93943425697654,1986
China,2.03841068876927,1987
China,2.1509052249848,1988
China,2.15307791087471,1989
China,2.16770307659104,1990
China,2.2459012756565095,1991
China,2.31420729031649,1992
China,2.44280065934625,1993
China,2.5659938917719303,1994
China,2.7557549663652496,1995
China,2.84430958153669,1996
China,2.82056789057578,1997
China,2.67674598026467,1998
China,2.64864924664833,1999
China,2.6968624332254905,2000
China,2.74212081298895,2001
China,2.88522504139331,2002
China,3.51224542766222,2003
China,4.08013890554173,2004
China,4.4411506949345,2005
China,4.8927270979847695,2006
China,5.15356401658718,2007
China,5.31115185538876,2008
China,5.77814318390097,2009
China,6.172488876097501,2010
China,6.71030199087886,2011
"Congo, Dem. Rep.",0.152228066100193,1960
"Congo, Dem. Rep.",0.150781683896912,1961
"Congo, Dem. Rep.",0.135558725577881,1962
"Congo, Dem. Rep.",0.13944563189918302,1963
"Congo, Dem. Rep.",0.116926455843116,1964
"Congo, Dem. Rep.",0.142290043920333,1965
"Congo, Dem. Rep.",0.13467533616319902,1966
"Congo, Dem. Rep.",0.124706248259826,1967
"Congo, Dem. Rep.",0.17818122254129998,1968
"Congo, Dem. Rep.",0.187694930343863,1969
"Congo, Dem. Rep.",0.13561185856882302,1970
"Congo, Dem. Rep.",0.144089870448105,1971
"Congo, Dem. Rep.",0.143061813940971,1972
"Congo, Dem. Rep.",0.14725071740740803,1973
"Congo, Dem. Rep.",0.15124140794941102,1974
"Congo, Dem. Rep.",0.141381631300821,1975
"Congo, Dem. Rep.",0.144925427851272,1976
"Congo, Dem. Rep.",0.14385052817879598,1977
"Congo, Dem. Rep.",0.141840587302134,1978
"Congo, Dem. Rep.",0.146357065421976,1979
"Congo, Dem. Rep.",0.132865308032767,1980
"Congo, Dem. Rep.",0.13963509752341502,1981
"Congo, Dem. Rep.",0.110772303798724,1982
"Congo, Dem. Rep.",0.14153363093704402,1983
"Congo, Dem. Rep.",0.135797697614365,1984
"Congo, Dem. Rep.",0.121435726037758,1985
"Congo, Dem. Rep.",0.109549311246584,1986
"Congo, Dem. Rep.",0.121495264054164,1987
"Congo, Dem. Rep.",0.122948634127724,1988
"Congo, Dem. Rep.",0.130114584414397,1989
"Congo, Dem. Rep.",0.116420436467735,1990
"Congo, Dem. Rep.",0.103417510417261,1991
"Congo, Dem. Rep.",0.0957904087819566,1992
"Congo, Dem. Rep.",0.0867433270621828,1993
"Congo, Dem. Rep.",0.0607511844852703,1994
"Congo, Dem. Rep.",0.0703259464218576,1995
"Congo, Dem. Rep.",0.0748177829465365,1996
"Congo, Dem. Rep.",0.0656726785668238,1997
"Congo, Dem. Rep.",0.0555095476469271,1998
"Congo, Dem. Rep.",0.0480435061478485,1999
"Congo, Dem. Rep.",0.0342669881518454,2000
"Congo, Dem. Rep.",0.0336673642538684,2001
"Congo, Dem. Rep.",0.0349639553799251,2002
"Congo, Dem. Rep.",0.0354136465146102,2003
"Congo, Dem. Rep.",0.0393605211686563,2004
